id,decade,year,month,date,co2raw,co2adj,days
474,1990s,1997,Aug,1997.625,361.89,363.54,25
475,1990s,1997,Sep,1997.708,360.05,363.49,26
476,1990s,1997,Oct,1997.792,360.49,363.78,27
477,1990s,1997,Nov,1997.875,362.21,364.26,30
478,1990s,1997,Dec,1997.958,364.12,364.89,30
479,1990s,1998,Jan,1998.042,365,364.81,30
480,1990s,1998,Feb,1998.125,365.82,365,28
481,1990s,1998,Mar,1998.208,366.95,365.34,31
482,1990s,1998,Apr,1998.292,368.42,365.83,29
483,1990s,1998,May,1998.375,369.33,366.42,30
484,1990s,1998,Jun,1998.458,368.78,366.57,28
485,1990s,1998,Jul,1998.542,367.59,366.91,23
486,1990s,1998,Aug,1998.625,365.81,367.21,30
487,1990s,1998,Sep,1998.708,363.83,367.16,28
488,1990s,1998,Oct,1998.792,364.18,367.46,30
489,1990s,1998,Nov,1998.875,365.36,367.42,23
490,1990s,1998,Dec,1998.958,366.87,367.69,26
491,1990s,1999,Jan,1999.042,367.97,367.75,27
492,1990s,1999,Feb,1999.125,368.83,368.02,22
493,1990s,1999,Mar,1999.208,369.46,367.84,25
494,1990s,1999,Apr,1999.292,370.77,368.26,29
495,1990s,1999,May,1999.375,370.66,367.7,26
496,1990s,1999,Jun,1999.458,370.1,367.96,26
497,1990s,1999,Jul,1999.542,369.1,368.42,27
498,1990s,1999,Aug,1999.625,366.7,368.23,25
499,1990s,1999,Sep,1999.708,364.61,368,28
500,1990s,1999,Oct,1999.792,365.17,368.43,31
501,1990s,1999,Nov,1999.875,366.51,368.49,28
502,1990s,1999,Dec,1999.958,367.85,368.53,26
503,2000s,2000,Jan,2000.042,369.07,368.87,26
504,2000s,2000,Feb,2000.125,369.32,368.6,19
505,2000s,2000,Mar,2000.208,370.38,368.87,30
506,2000s,2000,Apr,2000.292,371.63,369.15,27
507,2000s,2000,May,2000.375,371.32,368.49,28
508,2000s,2000,Jun,2000.458,371.51,369.32,28
509,2000s,2000,Jul,2000.542,369.69,369.03,25
510,2000s,2000,Aug,2000.625,368.18,369.72,27
511,2000s,2000,Sep,2000.708,366.87,370.13,26
512,2000s,2000,Oct,2000.792,366.94,370.16,30
513,2000s,2000,Nov,2000.875,368.27,370.23,25
514,2000s,2000,Dec,2000.958,369.62,370.27,30
515,2000s,2001,Jan,2001.042,370.47,370.31,30
516,2000s,2001,Feb,2001.125,371.44,370.72,26
