NAME,TEAM,POS,SALARY
Gleyber Torres,NYY,2B,605200
Cody Bellinger,LAD,RF,605000
Chad Green,NYY,RP,598650
Brandon Nimmo,NYM,LF,598285
Nick Pivetta,PHI,SP,598000
Jordan Montgomery,NYY,SP,596600
Ross Stripling,LAD,SP,595000
Justin Miller,WSH,RP,593200
Mike Clevinger,CLE,SP,592200
Seth Lugo,NYM,RP,591875
Max Stassi,HOU,C,590100
Mitch Haniger,SEA,LF,590100
Zach Eflin,PHI,SP,590000
Jameson Taillon,PIT,SP,587500
Josh Bell,PIT,1B,587000
Brian Anderson,MIA,3B,585000
Dansby Swanson,ATL,SS,585000
Luke Jackson,ATL,RP,585000
Adam Frazier,PIT,2B,584000
Trevor Williams,PIT,SP,584000
Tony Kemp,HOU,LF,583600
Brian Goodwin,LAA,LF,583500
Tyler White,HOU,1B,582900
Robert Gsellman,NYM,RP,582500
Joe Musgrove,PIT,SP,582500
Hunter Renfroe,SD,RF,582100
Matt Strahm,SD,SP,581700
Kyle Crick,PIT,RP,581500
Edgar Santana,PIT,RP,581500
Luke Weaver,ARI,SP,581300
Omar Narvaez,SEA,C,581200
Wilmer Difo,WSH,2B,581100
Jonathan Holder,NYY,RP,580300
Matt Chapman,OAK,3B,580000
Jesse Winker,CIN,LF,580000
Reynaldo Lopez,CWS,SP,580000
Ryon Healy,SEA,3B,579800
Colin Moran,PIT,3B,579500
Sam Gaviglio,TOR,RP,579500
Luke Maile,TOR,C,579000
Luis Cessa,NYY,SP,578975
Teoscar Hernandez,TOR,LF,578600
Elias Diaz,PIT,C,578500
Mallex Smith,SEA,CF,578400
Harrison Bader,STL,CF,578300
Juan Soto,WSH,LF,578300
Jakob Junis,KC,SP,578250
Kevin McCarthy,KC,RP,578250
Brad Keller,KC,SP,578175
Hanser Alberto,BAL,3B,578000
Chad Kuhl,PIT,SP,578000
Domingo German,NYY,RP,577500
Ryan Brasier,BOS,RP,577500
Manuel Margot,SD,CF,577100
Erik Gonzalez,PIT,SS,577000
Matt Grace,WSH,RP,576400
Adalberto Mondesi,KC,SS,576000
Amed Rosario,NYM,SS,575500
Trey Mancini,BAL,LF,575500
Ozzie Albies,ATL,2B,575000
Jesse Biddle,ATL,RP,575000
Rhys Hoskins,PHI,1B,575000
Johan Camargo,ATL,3B,575000
Sean Newcomb,ATL,SP,575000
Shane Carle,ATL,RP,575000
A.J. Minter,ATL,RP,575000
Brian Johnson,BOS,RP,575000
Kendall Graveman,CHC,SP,575000
Yoan Moncada,CWS,3B,575000
Max Muncy,LAD,1B,575000
Austin Barnes,LAD,C,575000
Scott Alexander,LAD,RP,575000
Drew Steckenrider,MIA,RP,575000
Mitch Garver,MIN,C,575000
Nick Williams,PHI,RF,575000
Brandon Brennan,SEA,RP,575000
Luke Bard,LAA,RP,575000
Matt Olson,OAK,1B,575000
Tyler Naquin,CLE,RF,574800
Silvino Bracho,ARI,RP,574600
Steven Brault,PIT,RP,574500
Mikie Mahtook,DET,CF,574500
Edubray Ramos,PHI,RP,573500
Jose Osuna,PIT,1B,573500
Luke Voit,NYY,1B,573200
Tim Hill,KC,RP,573175
Lucas Giolito,CWS,SP,573000
Richard Bleier,BAL,RP,572500
Kevan Smith,LAA,C,572500
Jake Cave,MIN,OF,572500
Trevor Hildenberger,MIN,RP,572500
Keon Broxton,NYM,CF,571765
John Gant,STL,SP,571300
Adam Engel,CWS,CF,571000
Dylan Covey,CWS,RP,571000
Buck Farmer,DET,RP,570800
Jose Alvarado,TB,RP,570600
Max Moroff,CLE,2B,570500
Franmil Reyes,SD,RF,570500
Joey Wendle,TB,3B,570400
Daniel R. Robertson,TB,2B,570300
Jorge Alfaro,MIA,C,570000
Walker Buehler,LAD,SP,570000
Joey Rickard,BAL,RF,570000
Tyler Mahle,CIN,SP,570000
Wandy Peralta,CIN,RP,570000
Lewis Brinson,MIA,CF,570000
Trevor Richards,MIA,SP,570000
Ronald Guzman,TEX,1B,569500
Victor Caratini,CHC,C,569500
Isiah Kiner-Falefa,TEX,C,569500
John Brebbia,STL,RP,569300
Joe Jimenez,DET,RP,569200
Miguel Castro,BAL,RP,569000
Jace Fry,CWS,RP,569000
Felix Pena,LAA,SP,569000
Noe Ramirez,LAA,RP,569000
Nick Kingham,PIT,RP,569000
Dovydas Neverauskas,PIT,RP,569000
Tyler Austin,MIN,1B,568600
Sam Tuivailala,SEA,RP,568600
Hector Velazquez,BOS,RP,568500
Brent Suter,MIL,SP,568300
Tim Mayza,TOR,RP,568300
Eric Skoglund,KC,SP,568175
Jeff McNeil,NYM,3B,567714
Ben Gamel,MIL,OF,567700
Matt Koch,ARI,RP,567600
Jacob Barnes,MIL,RP,567600
Amir Garrett,CIN,RP,567500
Mike Wright,BAL,SP,567500
Reyes Moronta,SF,RP,567500
Chris Stratton,LAA,SP,567500
Trevor Gott,SF,RP,567500
Drew VerHagen,DET,RP,567400
Hunter Dozier,KC,3B,567225
JaCoby Jones,DET,CF,567100
John Hicks,DET,C,567100
Daniel Palka,CWS,OF,567000
Josh James,HOU,RP,566800
Tyler Glasnow,TB,SP,566700
Dinelson Lamet,SD,SP,566700
Framber Valdez,HOU,RP,566600
Daniel Stumpf,DET,RP,566600
Orlando Arcia,MIL,SS,565700
Pablo Reyes,PIT,OF,565500
Ryan Borucki,TOR,SP,565200
Joey Lucchesi,SD,SP,565100
Dylan Moore,SEA,3B,565000
Dylan Floro,LAD,RP,565000
Max Fried,ATL,RP,565000
German Marquez,COL,SP,565000
Julio Urias,LAD,SP,565000
Bryse Wilson,ATL,SP,565000
Kyle Wright,ATL,SP,565000
Chad Sobotka,ATL,RP,565000
Wes Parsons,ATL,RP,565000
Kyle Freeland,COL,SP,565000
Chad Pinder,OAK,1B,565000
Tayron Guerrero,MIA,RP,565000
Jharel Cotton,OAK,SP,565000
Andrew Knapp,PHI,C,565000
Chris Bassitt,OAK,RP,565000
Brock Stewart,LAD,RP,565000
Robert Stephenson,CIN,SP,565000
Alex Reyes,STL,SP,564600
Freddy Peralta,MIL,SP,564600
Jordan Luplow,CLE,OF,564500
Koda Glover,WSH,RP,564300
Ryne Stanek,TB,RP,564200
Drew Robinson,STL,3B,564100
Marco Hernandez,BOS,3B,564000
Seranthony Dominguez,PHI,RP,564000
Jacob Stallings,PIT,C,564000
Tyler O'Neill,STL,OF,564000
Randy Rosario,CHC,RP,564000
Adam Cimber,CLE,RP,563800
Taylor Williams,MIL,RP,563800
Mike Mayers,STL,RP,563700
Pedro Severino,BAL,C,563500
David Hess,BAL,SP,563500
Keynan Middleton,LAA,RP,563500
Ryan Yarbrough,TB,SP,563400
Phil Maton,SD,RP,562900
Corbin Burnes,MIL,SP,562800
Dalton Pompey,TOR,OF,562800
Eric Lauer,SD,SP,562500
Wander Suero,WSH,RP,562500
Willy Adames,TB,SS,562400
Chasen Bradford,SEA,RP,562300
Jorge Lopez,KC,SP,562250
Jack Flaherty,STL,SP,562100
Renato Nunez,BAL,3B,562000
Yairo Munoz,STL,SS,562000
Richard Urena,TOR,SS,562000
Yonny Chirinos,TB,SP,561800
David Bote,CHC,3B,561500
David Fletcher,LAA,SS,561500
Justin Anderson,LAA,RP,561500
Diego Castillo,TB,RP,561500
J.D. Davis,NYM,3B,561420
Brandon Woodruff,MIL,SP,561400
Dereck Rodriguez,SF,SP,561250
Bradley Zimmer,CLE,CF,561200
Socrates Brito,SD,RF,561000
Tyler Olson,CLE,RP,560900
Adam Kolarek,TB,RP,560800
Jake Bauers,CLE,LF,560400
